iter	Passed	Remaining
650	22053	316715
651	22089	316712
652	22134	316825
653	22167	316791
654	22206	316819
655	22237	316747
656	22275	316775
657	22307	316718
658	22344	316726
659	22380	316715
660	22413	316675
661	22452	316713
662	22490	316727
663	22525	316713
664	22563	316741
665	22595	316670
666	22625	316586
667	22657	316522
668	22690	316484
669	22725	316460
670	22764	316503
671	22802	316516
672	22830	316410
673	22906	316955
674	22948	317029
675	22980	316962
676	23010	316884
677	23052	316955
678	23084	316886
679	23113	316793
680	23147	316751
681	23178	316688
682	23228	316866
683	23261	316822
684	23295	316788
685	23329	316751
686	23363	316712
687	23396	316667
688	23427	316598
689	23460	316548
690	23500	316588
691	23532	316538
692	23562	316444
693	23592	316362
694	23624	316297
695	23655	316221
696	23689	316188
697	23718	316091
698	23747	315982
699	23776	315894
700	23810	315848
701	23841	315779
702	23873	315717
703	23955	316320
704	23988	316273
705	24019	316199
706	24056	316209
707	24086	316121
708	24115	316018
709	24144	315917
710	24178	315878
711	24210	315826
712	24242	315766
713	24276	315733
714	24309	315686
715	24345	315679
716	24379	315645
717	24416	315649
718	24448	315590
719	24479	315508
720	24514	315493
721	24554	315540
722	24587	315492
723	24619	315425
724	24651	315364
725	24680	315273
726	24710	315181
727	24739	315092
728	24772	315046
729	24810	315059
730	24845	315040
731	24887	315105
732	24920	315059
733	25043	316142
734	25079	316138
735	25112	316088
736	25147	316071
737	25180	316013
738	25214	315977
739	25245	315905
740	25276	315834
741	25311	315814
742	25341	315729
743	25373	315664
744	25404	315592
745	25434	315507
746	25466	315451
747	25502	315434
748	25535	315389
749	25566	315318
750	25593	315204
751	25622	315102
752	25652	315013
753	25682	314932
754	25715	314890
755	25746	314818
756	25775	314718
757	25807	314660
758	25841	314620
759	25874	314580
760	25909	314551
761	25941	314504
762	25976	314478
763	26009	314431
764	26042	314377
765	26122	314897
766	26157	314879
767	26191	314844
768	26225	314802
769	26258	314755
770	26289	314687
771	26323	314655
772	26360	314653
773	26393	314604
774	26427	314567
775	26458	314498
776	26491	314460
777	26526	314434
778	26559	314382
779	26595	314369
780	26642	314492
781	26678	314473
782	26710	314419
783	26743	314369
784	26777	314336
785	26810	314290
786	26845	314261
787	26877	314210
788	26910	314162
789	26944	314127
790	26991	314240
791	27028	314239
792	27063	314212
793	27097	314177
794	27187	314792
795	27223	314784
796	27257	314741
797	27293	314731
798	27329	314712
799	27362	314664
800	27403	314711
801	27439	314699
802	27475	314681
803	27506	314618
804	27541	314584
805	27572	314517
806	27607	314487
807	27660	314672
808	27697	314665
809	27728	314599
810	27758	314515
811	27791	314463
812	27821	314387
813	27854	314334
814	27884	314256
815	27918	314215
816	27948	314134
817	27985	314136
818	28020	314114
819	28053	314057
820	28089	314045
821	28127	314053
822	28160	314010
823	28248	314570
824	28288	314603
825	28321	314553
826	28354	314502
827	28384	314421
828	28419	314393
829	28452	314343
830	28486	314314
831	28522	314292
832	28555	314243
833	28585	314171
834	28627	314222
835	28664	314214
836	28699	314185
837	28731	314126
838	28762	314060
839	28796	314013
840	28831	313994
841	28865	313959
842	28900	313928
843	28933	313883
844	28964	313814
845	28996	313752
846	29031	313727
847	29064	313676
848	29096	313618
849	29140	313692
850	29170	313607
851	29205	313577
852	29289	314085
853	29326	314079
854	29357	314009
855	29390	313954
856	29426	313939
857	29460	313903
858	29495	313879
859	29527	313816
860	29561	313773
861	29596	313751
862	29630	313717
863	29664	313672
864	29696	313618
865	29727	313542
866	29762	313514
867	29815	313683
868	29843	313581
869	29873	313501
870	29901	313401
871	29929	313299
872	29961	313243
873	29997	313224
874	30029	313165
875	30060	313098
876	30106	313186
877	30138	313128
878	30170	313070
879	30200	312981
880	30234	312948
881	30267	312904
882	30363	313507
883	30399	313484
884	30432	313432
885	30463	313365
886	30514	313507
887	30546	313443
888	30578	313391
889	30610	313329
890	30643	313274
891	30671	313176
892	30703	313116
893	30741	313122
894	30775	313086
895	30810	313057
896	30843	313012
897	30874	312940
898	30914	312964
899	30946	312902
900	30975	312810
901	31006	312744
902	31037	312681
903	31068	312614
904	31100	312550
905	31132	312488
906	31164	312437
907	31196	312372
908	31224	312278
909	31256	312220
910	31287	312153
911	31316	312065
912	31348	312010
913	31472	312866
914	31505	312820
915	31542	312807
916	31575	312763
917	31609	312722
918	31642	312676
919	31675	312620
920	31710	312597
921	31744	312557
922	31777	312510
923	31812	312476
924	31844	312423
925	31883	312426
926	31922	312442
927	31957	312412
928	31988	312343
929	32022	312303
930	32054	312246
931	32086	312190
932	32122	312169
933	32166	312229
934	32197	312162
935	32230	312107
936	32260	312031
937	32293	311982
938	32327	311946
939	32363	311928
940	32399	311910
941	32433	311867
942	32469	311847
943	32594	312685
944	32628	312651
945	32658	312565
946	32686	312476
947	32715	312385
948	32746	312313
949	32779	312265
950	32809	312190
951	32844	312158
952	32880	312141
953	32912	312082
954	32946	312041
955	32978	311989
956	33010	311922
957	33044	311888
958	33077	311843
959	33108	311774
960	33139	311708
961	33169	311625
962	33203	311586
963	33234	311522
964	33266	311466
965	33298	311408
966	33332	311369
967	33362	311289
968	33397	311265
969	33430	311214
970	33462	311156
971	33504	311191
972	33540	311168
973	33569	311086
974	33667	311638
975	33718	311753
976	33748	311683
977	33780	311623
978	33814	311585
979	33847	311538
980	33882	311503
981	33919	311496
982	33952	311445
983	33988	311425
984	34022	311388
985	34055	311337
986	34090	311301
