iter	Logloss	Accuracy
512	0.4555474266	0.853512	513	0.4554393181	0.8513	0514	0.4550577091	0.514	0.45515	0.4547021707515	0.45951516	0.4544793516	0.45922950517	0.4539517	0.4588754433	518	0.4536518	0.4586365536	519	0.4532519	0.4583311276	520	0.452520	0.4579972704	0521	0.452521	0.457629705	0522	0.45522	0.4573558499	0523	0.45523	0.4571875985	0.524	0.4524	0.456907954	0.525	0.4525	0.4566876099	526	0.451526	0.4563740869527	0.45091527	0.45610960528	0.4507345528	0.45579786529	0.4504611529	0.455559530	0.45023189530	0.45513531	0.450012701531	0.454772532	0.44966271532	0.4544930533	0.4494278533	0.45407406534	0.4491953534	0.4537323535	0.4489207535	0.45335893536	0.4484828536	0.45296615537	0.4482612537	0.45257765538	0.44799538	0.4521127048539	0.447539	0.4518814246	0540	0.447540	0.451471247541	0.447249541	0.451293034542	0.4469542	0.45103575543	0.4466451543	0.450669544	0.446299076544	0.45042545	0.446022598545	0.450282546	0.445788104546	0.449961547	0.445476547	0.44960613548	0.4452448548	0.44934342549	0.4450320549	0.449108550	0.444783479550	0.448551	0.4445658105	0551	0.4552	0.4443474772	0.8552	0.4553	0.4440058532	0.8553	0.4554	0.4436924397	0.8554	0555	0.443339024	0.868755556	0.4430224761	0.86875
557	0.4427164474	0.87031255558	0.4421270507	0.8718755559	0.4418090353	0.87559	0560	0.4413818116	0.8755561	0.4410605232	0.87343755562	0.4408720743	0.875
563	0.4406143766	0.8734375
564	0.4402853057	0.875
565	0.4399869844	0.871875
566	0.4397023519	0.871875
567	0.4394165608	0.871875
568	0.4391321508	0.8703125
569	0.438918299	0.8703125
570	0.4386281032	0.871875
571	0.4382291509	0.8734375
572	0.4377229014	0.8765625
573	0.4375121468	0.8765625
574	0.4373777456	0.8765625
575	0.4370793609	0.8796875
576	0.4367980041	0.8796875
577	0.4365834224	0.8796875
578	0.4362165998	0.88125
579	0.4359407108	0.8859375
580	0.4355160973	0.8859375
581	0.4353209627	0.8859375
582	0.4351938362	0.884375
583	0.4349685873	0.8859375
584	0.4347665581	0.8859375
585	0.4345239121	0.884375
586	0.4342408062	0.884375
587	0.4340703003	0.884375
588	0.4337924861	0.884375
589	0.4334944273	0.884375
590	0.4333690144	0.884375
591	0.4330717095	0.8859375
592	0.4328848101	0.8859375
593	0.4328076525	0.88593755594	0.432498088	0.8875
595	0.4321832913	0.8875
596	0.4317377963	0.8875
597	0.4314283221	0.8890625
598	0.4310769985	0.8875
599	0.4307526631	0.8890625
600	0.4305915679	0.8890625
601	0.4300604573	0.890625
602	0.4297272427	0.8921875
603	0.4295737174	0.8921875
604	0.4293945186	0.8921875
605	0.4290189567	0.89375
606	0.4287686032	0.89375
607	0.428476941	0.8921875
608	0.4280044092	0.8953125
609	0.4275146554	0.89375
610	0.4271719718	0.8953125
611	0.4266434046	0.896875
612	0.4265036676	0.896875
613	0.4263705478	0.8953125
614	0.4260224079	0.8953125
615	0.4257216188	0.8953125
616	0.4253101676	0.89531256617	0.4248374089	0.89531256618	0.4244318005	0.896875
619	0.4241600987	0.8968761620	0.4237570631	0.89531620621	0.4234613266	0.89531621622	0.4230676043	0.89622	0623	0.4227545731	0.896623	624	0.4225479567	0.895624	0625	0.4222450593	0.895625	0626	0.421932656	0.8953626	627	0.4213150326	0.895627	0628	0.4210529854	0.896628	629	0.4207797788	0.8984629	630	0.4205115694	0.9
631	0.4202295242	0.8984375
632	0.419821805	0.9
633	0.4195274498	0.9
634	0.4192418308	0.8984375
635	0.4190095165	0.9
636	0.4188553859	0.9
637	0.4185310826	0.9015625
638	0.4181271284	0.9
639	0.4177971352	0.9
640	0.417528438	0.9015625
641	0.4172529243	0.903125
642	0.4169838291	0.903125
643	0.4165679164	0.903125
644	0.4163042286	0.903125
645	0.4161306457	0.903125
646	0.4158135325	0.903125
647	0.4156545448	0.903125
648	0.4154374378	0.9046875
649	0.4151250998	0.9046875
650	0.4149372887	0.903125
651	0.4146910659	0.9046875
652	0.414287141	0.9046875
653	0.4138125527	0.9046875
654	0.4135379157	0.903125
655	0.4130074449	0.9046875
656	0.4126337591	0.90625
657	0.4123988277	0.90625
658	0.4122831955	0.90625
659	0.4119511984	0.9078125
660	0.4116713987	0.9078125
661	0.4113275481	0.9109375
662	0.411097815	0.9109375
663	0.4108347298	0.9109375
664	0.410625083	0.9125
665	0.4103900125	0.9125
666	0.4099832102	0.9125
667	0.4095922432	0.9125
668	0.4092985714	0.9125
669	0.4089709251	0.9125
670	0.408760142	0.9125
671	0.4083963299	0.9125
672	0.4079900008	0.9140625
673	0.407759077	0.9140625
674	0.4073262787	0.9140625
675	0.4069844447	0.9140625
676	0.4067429648	0.915625
677	0.4063788476	0.915625
678	0.4061251696	0.915625
679	0.4058651895	0.915625
680	0.4054728782	0.9140625
681	0.4052435392	0.9140625
682	0.4049470363	0.9140625
683	0.4046186227	0.9140625
684	0.4042789522	0.91406256685	0.4038772556	0.9685	0.4686	0.40363515686	0.4025180687	0.4687	0.4024185902	0.96688	0.4021492987	0.9
689	0.4017907752	0.9
690	0.4016506268	0.9
691	0.4012349812	0.9
692	0.4010969532	0.9
693	0.4008144348	0.9
694	0.400593923	0.9
695	0.4003600991	0.9015625
696	0.4000083208	0.9015625
697	0.3996826085	0.9015625
698	0.3993236176	0.903125
699	0.3987826131	0.903125
700	0.3983533887	0.903125
701	0.3981915087	0.903125
702	0.3978930224	0.903125
703	0.3975761026	0.903125
704	0.3973194266	0.9015625
705	0.3970589984	0.9015625
706	0.3967997484	0.9015625
707	0.3965676993	0.9015625
708	0.3963685215	0.9015625
709	0.3961892899	0.9015625
710	0.3957020253	0.9015625
711	0.3953697909	0.903125
712	0.3949949224	0.903125
713	0.3946535807	0.903125
714	0.3944701762	0.903125
715	0.3942014431	0.903125
716	0.3938095912	0.9015625
717	0.3933303438	0.9015625
718	0.3931137406	0.9015625
719	0.3928674279	0.9046875
720	0.3923797843	0.9046875
721	0.3921074326	0.90625
722	0.3918987135	0.9078125
723	0.391617124	0.9078125
724	0.391319395	0.90625
725	0.39118596	0.9078125
726	0.3909170743	0.909375
727	0.3907759043	0.9109375
728	0.39059227	0.909375
729	0.3904073302	0.909375
730	0.3901970654	0.909375
731	0.3896891461	0.909375
732	0.3895298496	0.909375
733	0.3892773355	0.909375
734	0.389089664	0.9078125
735	0.3886852222	0.9078125
736	0.3884340924	0.909375
737	0.3879891969	0.909375
738	0.3875289191	0.909375
739	0.387098255	0.909375
740	0.3866223479	0.9109375
741	0.3863024269	0.9109375
